booth_id,x,y,created_at,updated_at
S1004,0.470232,0.487053,2025-10-25 01:15:45.257859+00,2025-10-25 01:15:45.257859+00
S1005,0.470232,0.47402,2025-10-25 01:15:45.257859+00,2025-10-25 01:15:45.257859+00
S1006,0.470236,0.460987,2025-10-25 01:15:45.515797+00,2025-10-25 01:15:45.515797+00
S1101,0.50977,0.511033,2025-10-25 01:15:45.479232+00,2025-10-25 01:15:45.479232+00
S1102,0.524056,0.511033,2025-10-25 01:15:45.515797+00,2025-10-25 01:15:45.515797+00
S1103,0.524065,0.497985,2025-10-25 01:15:45.479232+00,2025-10-25 01:15:45.479232+00
S1104,0.509787,0.497985,2025-10-25 01:15:45.479232+00,2025-10-25 01:15:45.479232+00
S1201,0.593531,0.510872,2025-10-25 01:15:45.479232+00,2025-10-25 01:15:45.479232+00
S1203,0.600685,0.497824,2025-10-25 01:15:45.479232+00,2025-10-25 01:15:45.479232+00
S1204,0.586403,0.497824,2025-10-25 01:15:45.479232+00,2025-10-25 01:15:45.479232+00
S1301,0.640156,0.525968,2025-10-25 01:15:45.440311+00,2025-10-25 01:15:45.440311+00
S1302,0.640156,0.512927,2025-10-25 01:15:45.257859+00,2025-10-25 01:15:45.257859+00
S1303,0.640156,0.499902,2025-10-25 01:15:45.257859+00,2025-10-25 01:15:45.257859+00
S1304,0.640156,0.486854,2025-10-25 01:15:45.257859+00,2025-10-25 01:15:45.257859+00
S1305,0.640156,0.473813,2025-10-25 01:15:45.257859+00,2025-10-25 01:15:45.257859+00
S1306,0.640139,0.460773,2025-10-25 01:15:45.515797+00,2025-10-25 01:15:45.515797+00
